id,Name,Lat,Lon,Distance,CC,City,State,Country,CatId,CatName,CatPluralName,CatShortName,PostalCode,isVerified,StatsCheckinsCount,StatsUsersCount,StatsTipCount,PriceTier,PriceMessage,LikesCount,Rating,RatingSignals,RatingColor,hasMenu,MenuUrl,MenuMobileUrl,SpecialsCount,PhotosCount
4dcc5861887714552bd47b34,Brooklyn Roasting Company,40.7041198845,-73.9866616052,1883,US,Brooklyn,NY,United States,4bf58dd8d48988d1e0931735,Coffee Shop,Coffee Shops,Coffee Shop,11201,True,18415,4647,168,2,Moderate,0,9.4,722,00B551,True,https://foursquare.com/v/brooklyn-roasting-company-brooklyn-ny/4dcc5861887714552bd47b34/menu,https://foursquare.com/v/4dcc5861887714552bd47b34/device_menu,1,759
49ee02e9f964a52010681fe3,La Colombe Torrefaction,40.7238560371,-73.9964067936,1477,US,New York,NY,United States,4bf58dd8d48988d1e0931735,Coffee Shop,Coffee Shops,Coffee Shop,10012,True,29960,8409,267,1,Cheap,0,9.4,900,00B551,True,https://foursquare.com/v/la-colombe-torrefaction-new-york-ny/49ee02e9f964a52010681fe3/menu,https://foursquare.com/v/49ee02e9f964a52010681fe3/device_menu,0,681
49ccd495f964a52091591fe3,Kaffe 1668,40.7149316825,-74.0114378929,529,US,New York,NY,United States,4bf58dd8d48988d1e0931735,Coffee Shop,Coffee Shops,Coffee Shop,10007,True,20687,5664,256,1,Cheap,0,9.3,804,00B551,True,https://foursquare.com/v/kaffe-1668/49ccd495f964a52091591fe3/menu,https://foursquare.com/v/49ccd495f964a52091591fe3/device_menu,0,533
4e4d9c17814dd49447e709e1,Gasoline Alley Coffee,40.7255513259,-73.9947652817,1711,US,New York,NY,United States,4bf58dd8d48988d1e0931735,Coffee Shop,Coffee Shops,Coffee Shop,10012,True,13614,4261,175,1,Cheap,0,9.4,559,00B551,False,,,0,531
512f8233e4b04458d4385195,Stumptown Coffee Roasters,40.7328149968,-73.9980934256,2334,US,New York,NY,United States,4bf58dd8d48988d1e0931735,Coffee Shop,Coffee Shops,Coffee Shop,10011,True,9068,4235,113,1,Cheap,0,9.4,560,00B551,False,,,0,449
4eb811f629c212fb6d8158e5,La Colombe Torrefaction,40.7279546084,-73.9932613838,2005,US,New York,NY,United States,4bf58dd8d48988d1e0931735,Coffee Shop,Coffee Shops,Coffee Shop,10003,True,27299,8134,222,1,Cheap,0,9.3,773,00B551,False,,,0,813
4aa52d50f964a520834720e3,Stumptown Coffee Roasters,40.7459015602,-73.9881422709,3987,US,New York,NY,United States,4bf58dd8d48988d1e0931735,Coffee Shop,Coffee Shops,Coffee Shop,10001,True,42138,15938,439,1,Cheap,0,9.5,1347,00B551,False,,,0,1576
4aeedbe6f964a5206cd421e3,Birch Coffee,40.7434930136,-73.9864951731,3798,US,New York,NY,United States,4bf58dd8d48988d1e0931735,Coffee Shop,Coffee Shops,Coffee Shop,10016,True,25009,8212,310,2,Moderate,0,9.5,1064,00B551,True,https://foursquare.com/v/birch-coffee/4aeedbe6f964a5206cd421e3/menu,https://foursquare.com/v/4aeedbe6f964a5206cd421e3/device_menu,0,772
4b843a9cf964a520f22831e3,Blue Bottle Coffee,40.7173529282,-73.9603922405,3874,US,Brooklyn,NY,United States,4bf58dd8d48988d1e0931735,Coffee Shop,Coffee Shops,Coffee Shop,11249,True,29778,10790,292,1,Cheap,0,9.4,814,00B551,True,https://foursquare.com/v/blue-bottle-coffee/4b843a9cf964a520f22831e3/menu,https://foursquare.com/v/4b843a9cf964a520f22831e3/device_menu,0,1001
4a942a25f964a520972020e3,Ground Support,40.7242849452,-74.0019643307,1331,US,New York,NY,United States,4bf58dd8d48988d1e0931735,Coffee Shop,Coffee Shops,Coffee Shop,10012,True,23849,8082,327,1,Cheap,0,9.1,967,00B551,True,https://foursquare.com/v/ground-support/4a942a25f964a520972020e3/menu,https://foursquare.com/v/4a942a25f964a520972020e3/device_menu,0,510
